rock1;128;64;32;32;
rock2;160;64;32;32;
rock3;192;64;32;32;
rock2;128;96;32;32;
rock3;160;96;32;32;
rock1;192;96;32;32;
rock1;224;64;32;32;
rock2;224;96;32;32;
rock2;192;128;32;32;
rock3;128;128;32;32;
rock3;256;96;32;32;
rock2;256;64;32;32;
rock2;288;32;32;32;
rock2;320;0;32;32;
rock2;160;160;32;32;
rock2;96;224;32;32;
rock2;128;192;32;32;
rock2;64;256;32;32;
rock2;32;288;32;32;
rock2;0;320;32;32;
rock2;96;128;32;32;
rock2;64;160;32;32;
rock2;32;192;32;32;
rock2;0;224;32;32;
rock2;192;32;32;32;
rock2;224;0;32;32;
rock3;96;160;32;32;
rock3;64;192;32;32;
rock3;32;224;32;32;
rock3;0;256;32;32;
rock1;0;288;32;32;
rock1;32;256;32;32;
rock1;64;224;32;32;
rock1;96;192;32;32;
rock1;128;160;32;32;
rock1;160;128;32;32;
rock1;256;32;32;32;
rock1;288;0;32;32;
rock3;224;32;32;32;
rock3;256;0;32;32;
rock3;160;192;32;32;
rock3;192;160;32;32;
rock3;224;128;32;32;
rock3;288;64;32;32;
rock3;320;32;32;32;
rock3;352;0;32;32;
rock3;0;352;32;32;
rock3;32;320;32;32;
rock3;64;288;32;32;
rock3;96;256;32;32;
rock1;0;384;32;32;
rock1;32;352;32;32;
rock1;64;320;32;32;
rock1;96;288;32;32;
rock1;128;256;32;32;
rock1;192;192;32;32;
rock1;224;160;32;32;
rock1;256;128;32;32;
rock1;288;96;32;32;
rock1;320;64;32;32;
rock1;352;32;32;32;
rock1;384;0;32;32;
rock1;32;448;32;32;
rock1;64;416;32;32;
rock1;96;384;32;32;
rock1;128;352;32;32;
rock1;160;320;32;32;
rock1;192;288;32;32;
rock1;224;256;32;32;
rock1;256;224;32;32;
rock1;320;160;32;32;
rock1;352;128;32;32;
rock1;384;96;32;32;
rock1;416;64;32;32;
rock1;448;32;32;32;
rock1;480;0;32;32;
rock1;576;0;32;32;
rock1;544;32;32;32;
rock1;512;64;32;32;
rock1;480;96;32;32;
rock1;608;64;32;32;
rock1;608;160;32;32;
rock1;576;96;32;32;
rock1;544;128;32;32;
rock1;512;160;32;32;
rock1;576;192;32;32;
rock1;544;224;32;32;
rock1;512;256;32;32;
rock1;480;288;32;32;
rock1;416;256;32;32;
rock1;384;288;32;32;
rock1;448;224;32;32;
rock1;480;192;32;32;
rock1;288;288;32;32;
rock1;320;256;32;32;
rock1;384;192;32;32;
rock1;416;160;32;32;
rock1;448;128;32;32;
rock1;256;320;32;32;
rock1;224;352;32;32;
rock1;192;384;32;32;
rock1;160;416;32;32;
rock1;128;448;32;32;
rock1;352;320;32;32;
rock1;320;352;32;32;
rock1;288;384;32;32;
rock1;256;416;32;32;
rock1;224;448;32;32;
rock1;448;320;32;32;
rock1;416;352;32;32;
rock1;384;384;32;32;
rock1;352;416;32;32;
rock1;320;448;32;32;
rock2;288;128;32;32;
rock2;320;96;32;32;
rock2;352;64;32;32;
rock2;384;32;32;32;
rock2;416;0;32;32;
rock2;256;160;32;32;
rock2;224;192;32;32;
rock2;160;256;32;32;
rock2;128;288;32;32;
rock2;96;320;32;32;
rock2;64;352;32;32;
rock2;32;384;32;32;
rock2;0;416;32;32;
rock2;96;416;32;32;
rock2;128;384;32;32;
rock2;160;352;32;32;
rock2;192;320;32;32;
rock2;224;288;32;32;
rock2;64;448;32;32;
rock2;256;256;32;32;
rock2;288;224;32;32;
rock2;320;192;32;32;
rock2;352;160;32;32;
rock2;384;128;32;32;
rock2;416;96;32;32;
rock2;448;64;32;32;
rock2;480;32;32;32;
rock2;512;0;32;32;
rock3;544;0;32;32;
rock3;512;32;32;32;
rock3;480;64;32;32;
rock3;448;0;32;32;
rock3;416;32;32;32;
rock3;384;64;32;32;
rock3;352;96;32;32;
rock3;320;128;32;32;
rock3;288;160;32;32;
rock3;256;192;32;32;
rock3;192;256;32;32;
rock3;128;224;32;32;
rock3;160;288;32;32;
rock3;128;320;32;32;
rock3;96;352;32;32;
rock3;64;384;32;32;
rock3;32;416;32;32;
rock3;96;448;32;32;
rock3;128;416;32;32;
rock3;160;384;32;32;
rock3;192;352;32;32;
rock3;224;320;32;32;
rock3;256;288;32;32;
rock3;288;256;32;32;
rock3;320;224;32;32;
rock3;352;192;32;32;
rock3;384;160;32;32;
rock3;416;128;32;32;
rock3;448;96;32;32;
rock3;576;64;32;32;
rock3;544;96;32;32;
rock3;512;128;32;32;
rock3;480;160;32;32;
rock3;448;192;32;32;
rock3;384;256;32;32;
rock3;352;288;32;32;
rock3;320;320;32;32;
rock3;288;352;32;32;
rock3;256;384;32;32;
rock3;224;416;32;32;
rock3;192;448;32;32;
rock3;608;128;32;32;
rock3;576;160;32;32;
rock3;512;224;32;32;
rock3;480;256;32;32;
rock3;448;288;32;32;
rock3;416;320;32;32;
rock3;384;352;32;32;
rock3;352;384;32;32;
rock3;320;416;32;32;
