null;-1408;320
null;2368;-96
null;2368;-704
office_cube;2144;-128
office_cube;1888;-256
office_cube;1504;-256
office_cube;1536;-128
office_cube;1088;-64
office_cube;800;-224
office_cube;384;-128
office_cube;672;-128
office_cube;128;-32
office_cube;-96;-128
office_cube;-352;-128
office_cube;-736;-64
office_cube;-576;-256
office_cube;-1056;-192
office_cube;-992;0
office_cube;-896;-192
office_cube;-128;-288
office_cube;96;-256
office_cube;256;-160
office_cube;448;-416
office_cube;992;-320
office_cube;1216;-224
office_cube;1664;-448
office_cube;2208;-384
office_cube;2144;-576
office_cube;1984;-448
office_cube;1888;-704
office_cube;1472;-576
office_cube;1312;-384
office_cube;1152;-544
office_cube;1152;-448
office_cube;1056;-640
office_cube;1280;-736
office_cube;704;-416
office_cube;480;-576
office_cube;832;-608
office_cube;128;-416
office_cube;-32;-640
office_cube;-160;-512
office_cube;-288;-384
office_cube;-480;-576
office_cube;-640;-416
office_cube;-416;-480
office_cube;-256;-736
office_cube;-928;-384
office_cube;-1056;-576
office_cube;-864;-512
office_cube;-1120;-320
office_cube;1696;-704
null;-1408;288
null;-1408;256
null;-1408;224
null;-1408;192
null;-1408;96
null;-1408;32
null;-1408;-64
null;-1408;-128
null;-1408;-256
null;-1408;-320
null;-1408;-384
null;-1408;-480
null;-1408;-544
null;-1408;-608
null;-1408;-704
null;-1408;-768
null;-1408;-832
null;-1408;-928
null;-1408;-992
null;-1408;-1088
null;-1408;-1152
null;-1408;-1248
null;-1408;-1312
null;-1408;-1408
null;-1408;-1504
null;-1408;-1600
null;-1408;-1664
null;-1408;-1760
null;-1408;-1856
null;-1408;-1952
null;-1408;-2016
null;-1408;-2112
null;-1408;-2176
null;-1408;-2272
null;-1408;-2368
null;-1408;-2464
null;-1408;-2528
null;-1408;-2592
null;-1408;-2688
null;-1408;-2784
null;-1408;-2848
null;-1408;-2944
null;-1408;-3040
null;-1408;-3136
null;-1408;-3232
null;-1408;-3328
null;-1408;-3392
null;-1408;-3488
null;-1408;-3584
null;-1408;-3680
null;-1408;-3776
null;-1408;-3872
null;-1408;-3968
null;-1408;-4064
null;-1408;-4128
null;-1408;-4224
null;-1408;-4320
null;-1408;-4416
null;-1408;-4512
null;-1408;-4608
null;-1408;-4704
null;-1408;-4800
null;-1408;-4864
null;-1408;-4960
null;-1408;-5056
null;-1408;-5152
null;-1408;-5248
null;-1408;-5344
null;-1408;-5440
null;-1408;-5568
null;-1408;-5632
null;-1408;-5728
null;-1408;-5824
null;-1408;-5920
null;-1408;-6016
null;-1408;-6144
null;-1408;-6240
null;-1408;-6368
null;-1408;-6400
null;-1376;-6400
null;-1280;-6400
null;-1216;-6400
null;-992;-6400
null;-896;-6400
null;-832;-6400
null;-736;-6400
null;-672;-6400
null;-480;-6400
null;-352;-6400
null;-256;-6400
null;-96;-6400
null;64;-6400
null;192;-6400
null;320;-6400
null;480;-6400
null;672;-6400
null;736;-6400
null;896;-6400
null;1024;-6400
null;1184;-6400
null;1312;-6400
null;1472;-6400
null;1568;-6400
null;1728;-6400
null;1824;-6400
null;1952;-6400
null;2048;-6400
null;2176;-6400
null;2304;-6400
null;2368;320
null;2368;96
null;2368;-320
null;2368;-480
null;2368;-864
null;2368;-1088
null;2368;-1216
null;2368;-1376
null;2368;-1504
null;2368;-1632
null;2368;-1792
null;2368;-1920
null;2368;-2080
null;2368;-2208
null;2368;-2368
null;2368;-2496
null;2368;-2656
null;2368;-2784
null;2368;-2944
null;2368;-3072
null;2368;-3200
null;2368;-3360
null;2368;-3520
null;2368;-3648
null;2368;-3840
null;2368;-4000
null;2368;-4128
null;2368;-4288
null;2368;-4416
null;2368;-4608
null;2368;-4736
null;2368;-4896
null;2368;-5056
null;2368;-5184
null;2368;-5376
null;2368;-5504
null;2368;-5632
null;2368;-5792
null;2368;-5952
null;2368;-6144
null;2368;-6304
null;2368;-6400
